Date,Description,Amount,Transaction Type,Category,Account Name
01-01-2018,Amazon,11.11,debit,Shopping,Platinum Card
01-02-2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
01-02-2018,Thai Restaurant,24.22,debit,Restaurants,Silver Card
01-03-2018,Credit Card Payment,2298.09,credit,Credit Card Payment,Platinum Card
01-04-2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
01-05-2018,American Tavern,25.85,debit,Restaurants,Silver Card
01-06-2018,Hardware Store,18.45,debit,Home Improvement,Silver Card
01-08-2018,Gas Company,45,debit,Utilities,Checking
01-08-2018,Hardware Store,15.38,debit,Home Improvement,Silver Card
01-09-2018,Spotify,10.69,debit,Music,Platinum Card
01-10-2018,Phone Company,89.46,debit,Mobile Phone,Checking
01-11-2018,Shell,34.87,debit,Gas & Fuel,Platinum Card
01-11-2018,Grocery Store,43.54,debit,Groceries,Platinum Card
01-12-2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
01/13/2018,Pizza Place,32.91,debit,Fast Food,Platinum Card
01/13/2018,Amazon,39.05,debit,Shopping,Platinum Card
01/15/2018,Grocery Store,44.19,debit,Groceries,Silver Card
01/15/2018,American Tavern,64.11,debit,Restaurants,Silver Card
01/16/2018,City Water Charges,35,debit,Utilities,Checking
01/16/2018,Power Company,60,debit,Utilities,Checking
01/19/2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
01/20/2018,Amazon,50.21,debit,Shopping,Platinum Card
01/22/2018,Credit Card Payment,554.99,credit,Credit Card Payment,Platinum Card
01/22/2018,Credit Card Payment,309.81,credit,Credit Card Payment,Silver Card
01/22/2018,Credit Card Payment,554.99,debit,Credit Card Payment,Checking
01/22/2018,Hardware Store,17.38,debit,Home Improvement,Silver Card
01/23/2018,Credit Card Payment,309.81,debit,Credit Card Payment,Checking
01/24/2018,Starbucks,3,debit,Coffee Shops,Platinum Card
01/25/2018,Internet Service Provider,69.99,debit,Internet,Checking
01/29/2018,Shell,30.42,debit,Gas & Fuel,Silver Card
01/29/2018,Thai Restaurant,25,debit,Restaurants,Silver Card
01/29/2018,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card
02-01-2018,Grocery Store,27.79,debit,Groceries,Platinum Card
02-01-2018,Amazon,11.11,debit,Shopping,Platinum Card
02-02-2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
02-02-2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
02-03-2018,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card
02-04-2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
02-05-2018,Credit Card Payment,145.14,credit,Credit Card Payment,Platinum Card
02-06-2018,Credit Card Payment,154.13,credit,Credit Card Payment,Silver Card
02-07-2018,Credit Card Payment,154.13,debit,Credit Card Payment,Checking
02-07-2018,Gas Company,65,debit,Utilities,Checking
02-09-2018,Barbershop,30,debit,Haircut,Platinum Card
02-09-2018,Spotify,10.69,debit,Music,Platinum Card
02-10-2018,Bojangles,10.66,debit,Fast Food,Platinum Card
02-11-2018,Fancy Restaurant,106.8,debit,Restaurants,Platinum Card
02-12-2018,Shell,36.47,debit,Gas & Fuel,Silver Card
02-12-2018,Phone Company,89.52,debit,Mobile Phone,Checking
02/14/2018,Brewing Company,14,debit,Alcohol & Bars,Silver Card
02/15/2018,American Tavern,10,debit,Restaurants,Platinum Card
02/15/2018,Power Company,60,debit,Utilities,Checking
02/16/2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
02/16/2018,Brunch Restaurant,8,debit,Restaurants,Silver Card
02/16/2018,City Water Charges,35,debit,Utilities,Checking
02/20/2018,Grocery Store,35.95,debit,Groceries,Silver Card
02/20/2018,Mexican Restaurant,23.51,debit,Restaurants,Silver Card
02/21/2018,Starbucks,2,debit,Coffee Shops,Platinum Card
02/22/2018,Starbucks,4,debit,Coffee Shops,Silver Card
02/26/2018,Credit Card Payment,765.37,credit,Credit Card Payment,Platinum Card
02/26/2018,Credit Card Payment,156.11,credit,Credit Card Payment,Silver Card
02/26/2018,Credit Card Payment,765.37,debit,Credit Card Payment,Checking
02/26/2018,Internet Service Provider,74.99,debit,Internet,Checking
02/26/2018,American Tavern,85.52,debit,Restaurants,Silver Card
02/26/2018,Gas Station,32.21,debit,Gas & Fuel,Silver Card
02/27/2018,Credit Card Payment,156.11,debit,Credit Card Payment,Checking
03-01-2018,Grocery Store,32.07,debit,Groceries,Silver Card
03-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
03-02-2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
03-02-2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
03-03-2018,Grocery Store,23.74,debit,Groceries,Silver Card
03-04-2018,Grocery Store,10.69,debit,Groceries,Platinum Card
03-04-2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
03-04-2018,BBQ Restaurant,42.24,debit,Restaurants,Platinum Card
03-05-2018,Starbucks,3,debit,Coffee Shops,Platinum Card
03-05-2018,Credit Card Payment,761.59,credit,Credit Card Payment,Silver Card
03-05-2018,Credit Card Payment,761.59,debit,Credit Card Payment,Checking
03-07-2018,Starbucks,3.5,debit,Coffee Shops,Platinum Card
03-08-2018,BP,34.9,debit,Gas & Fuel,Platinum Card
03-08-2018,Gas Company,52,debit,Utilities,Checking
03-09-2018,Grocery Store,20.72,debit,Groceries,Platinum Card
03-09-2018,Grocery Store,5.09,debit,Groceries,Platinum Card
03-09-2018,Spotify,10.69,debit,Music,Platinum Card
03-12-2018,Grocery Store,19.35,debit,Groceries,Platinum Card
03-12-2018,Phone Company,89.52,debit,Mobile Phone,Checking
03/13/2018,Amazon,45.75,debit,Shopping,Platinum Card
03/14/2018,Grocery Store,22.5,debit,Groceries,Platinum Card
03/14/2018,Brunch Restaurant,8.49,debit,Restaurants,Platinum Card
03/15/2018,Starbucks,3.5,debit,Coffee Shops,Platinum Card
03/15/2018,Power Company,60,debit,Utilities,Checking
03/16/2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
03/17/2018,Brewing Company,19.5,debit,Alcohol & Bars,Silver Card
03/17/2018,Pizza Place,23.34,debit,Fast Food,Platinum Card
03/19/2018,Mediterranean Restaurant,36.48,debit,Restaurants,Silver Card
03/19/2018,City Water Charges,35,debit,Utilities,Checking
03/20/2018,Amazon,14.97,debit,Shopping,Platinum Card
03/22/2018,BP,30.55,debit,Gas & Fuel,Silver Card
03/23/2018,Credit Card Payment,559.91,credit,Credit Card Payment,Platinum Card
03/23/2018,Credit Card Payment,559.91,debit,Credit Card Payment,Checking
03/23/2018,Grocery Store,11.76,debit,Groceries,Silver Card
03/26/2018,Internet Service Provider,74.99,debit,Internet,Checking
03/28/2018,Grocery Store,16.06,debit,Groceries,Silver Card
03/28/2018,Pizza Place,24.98,debit,Restaurants,Silver Card
03/29/2018,Steakhouse,17.64,debit,Restaurants,Silver Card
03/30/2018,Grocery Store,9.09,debit,Groceries,Silver Card
03/30/2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
03/31/2018,Belgian Restaurant,38.32,debit,Restaurants,Platinum Card
03/31/2018,Chili's,24.74,debit,Restaurants,Platinum Card
03/31/2018,Greek Restaurant,41.16,debit,Restaurants,Silver Card
04-01-2018,Grocery Store,80.79,debit,Groceries,Platinum Card
04-01-2018,Brewing Company,59.48,debit,Restaurants,Platinum Card
04-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
04-02-2018,Credit Card Payment,817.14,credit,Credit Card Payment,Silver Card
04-02-2018,Credit Card Payment,817.14,debit,Credit Card Payment,Checking
04-02-2018,Grocery Store,82.36,debit,Groceries,Platinum Card
04-02-2018,Hardware Store,13.89,debit,Home Improvement,Platinum Card
04-02-2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
04-03-2018,Amazon Video,6.41,debit,Movies & DVDs,Platinum Card
04-04-2018,Credit Card Payment,363.08,credit,Credit Card Payment,Platinum Card
04-04-2018,Credit Card Payment,363.08,debit,Credit Card Payment,Checking
04-04-2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
04-06-2018,Chevron,4.58,debit,Gas & Fuel,Platinum Card
04-06-2018,Tiny Deli,9.76,debit,Restaurants,Platinum Card
04-08-2018,Irish Pub,22,debit,Restaurants,Platinum Card
04-09-2018,Blue Sky Market,6.48,debit,Groceries,Silver Card
04-09-2018,Spotify,10.69,debit,Music,Platinum Card
04-09-2018,Gas Company,30,debit,Utilities,Checking
04-11-2018,Phone Company,89.52,debit,Mobile Phone,Checking
04-12-2018,Starbucks,7,debit,Coffee Shops,Platinum Card
04-12-2018,Barbershop,30,debit,Haircut,Platinum Card
04/13/2018,BP,37.98,debit,Gas & Fuel,Platinum Card
04/13/2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
04/13/2018,American Tavern,10.66,debit,Restaurants,Platinum Card
04/14/2018,Hardware Store,11.61,debit,Home Improvement,Platinum Card
04/14/2018,American Tavern,41,debit,Restaurants,Platinum Card
04/16/2018,State Farm,75,debit,Auto Insurance,Checking
04/16/2018,City Water Charges,35,debit,Utilities,Checking
04/18/2018,Power Company,60,debit,Utilities,Checking
04/20/2018,Thai Restaurant,24.22,debit,Restaurants,Silver Card
04/21/2018,Grocery Store,4.32,debit,Groceries,Silver Card
04/21/2018,American Tavern,35.15,debit,Restaurants,Silver Card
04/22/2018,Grocery Store,21.32,debit,Groceries,Platinum Card
04/23/2018,Hardware Store,42.7,debit,Home Improvement,Silver Card
04/24/2018,Hardware Store,224.7,debit,Home Improvement,Platinum Card
04/24/2018,Amazon,41.34,debit,Shopping,Platinum Card
04/25/2018,Hardware Store,210.79,debit,Home Improvement,Silver Card
04/25/2018,Internet Service Provider,74.99,debit,Internet,Checking
04/26/2018,Credit Card Payment,769.72,credit,Credit Card Payment,Silver Card
04/26/2018,Credit Card Payment,1216.94,credit,Credit Card Payment,Platinum Card
04/26/2018,Credit Card Payment,1216.94,debit,Credit Card Payment,Checking
04/27/2018,Credit Card Payment,769.72,debit,Credit Card Payment,Checking
04/27/2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
04/28/2018,Grocery Store,22.98,debit,Groceries,Silver Card
04/29/2018,QuikTrip,39,debit,Gas & Fuel,Platinum Card
04/29/2018,Grocery Store,51.05,debit,Groceries,Platinum Card
04/29/2018,Hardware Store,68.47,debit,Home Improvement,Platinum Card
04/30/2018,Grocery Store,5.09,debit,Groceries,Platinum Card
05-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
05-02-2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
05-03-2018,Amazon,49.72,debit,Shopping,Platinum Card
05-04-2018,Grocery Store,42.23,debit,Groceries,Platinum Card
05-04-2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
05-05-2018,Bojangles,7.27,debit,Fast Food,Platinum Card
05-05-2018,Pizza Place,20.52,debit,Fast Food,Platinum Card
05-06-2018,Hardware Store,22.37,debit,Home Improvement,Platinum Card
05-06-2018,Amazon,117.69,debit,Shopping,Platinum Card
05-09-2018,Credit Card Payment,601.4,credit,Credit Card Payment,Platinum Card
05-09-2018,Credit Card Payment,601.4,debit,Credit Card Payment,Checking
05-09-2018,Spotify,10.69,debit,Music,Platinum Card
05-09-2018,Gas Company,30,debit,Utilities,Checking
05-10-2018,Phone Company,111.18,debit,Mobile Phone,Checking
05-11-2018,Grocery Store,57.32,debit,Groceries,Platinum Card
05-11-2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
05-11-2018,Mike's Construction Co.,8000,debit,Home Improvement,Checking
05-12-2018,Liquor Store,27.77,debit,Alcohol & Bars,Platinum Card
05-12-2018,Shell,33.3,debit,Gas & Fuel,Platinum Card
05-12-2018,Fancy Restaurant,78,debit,Restaurants,Platinum Card
05/14/2018,Grocery Store,67.63,debit,Groceries,Silver Card
05/15/2018,Power Company,60,debit,Utilities,Checking
05/17/2018,Barbershop,29,debit,Haircut,Silver Card
05/17/2018,City Water Charges,35,debit,Utilities,Checking
05/18/2018,State Farm,75,debit,Auto Insurance,Checking
05/18/2018,Amazon,6.41,debit,Shopping,Platinum Card
05/19/2018,Credit Card Payment,207.08,credit,Credit Card Payment,Platinum Card
05/19/2018,Grocery Store,31,debit,Groceries,Silver Card
05/19/2018,Greek Restaurant,23.26,debit,Restaurants,Silver Card
05/21/2018,Credit Card Payment,283.07,credit,Credit Card Payment,Silver Card
05/21/2018,Thai Restaurant,26.04,debit,Restaurants,Silver Card
05/21/2018,Amazon,32.5,debit,Shopping,Platinum Card
05/22/2018,Credit Card Payment,283.07,debit,Credit Card Payment,Checking
05/24/2018,BP,39.44,debit,Gas & Fuel,Silver Card
05/25/2018,Internet Service Provider,74.99,debit,Internet,Checking
05/25/2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
05/28/2018,Movie Theater,9.62,debit,Entertainment,Silver Card
05/28/2018,Grocery Store,91.03,debit,Groceries,Silver Card
05/29/2018,Movie Theater,20,debit,Movies & DVDs,Silver Card
05/29/2018,Movie Theater,6.25,debit,Movies & DVDs,Silver Card
06-01-2018,BP,38.63,debit,Gas & Fuel,Platinum Card
06-01-2018,Grocery Store,6.11,debit,Groceries,Platinum Card
06-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
06-02-2018,Credit Card Payment,235.18,credit,Credit Card Payment,Silver Card
06-02-2018,Credit Card Payment,466.36,credit,Credit Card Payment,Platinum Card
06-03-2018,Italian Restaurant,65.81,debit,Restaurants,Platinum Card
06-04-2018,Credit Card Payment,235.18,debit,Credit Card Payment,Checking
06-04-2018,Grocery Store,24.12,debit,Groceries,Platinum Card
06-04-2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
06-04-2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
06-06-2018,Starbucks,4,debit,Coffee Shops,Platinum Card
06-08-2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
06-08-2018,Gas Company,30,debit,Utilities,Checking
06-09-2018,Chick-Fil-A,16.18,debit,Fast Food,Platinum Card
06-09-2018,Grocery Store,9.56,debit,Groceries,Platinum Card
06-09-2018,Spotify,10.69,debit,Music,Platinum Card
06-10-2018,Grocery Store,46.01,debit,Groceries,Platinum Card
06-12-2018,Grocery Store,12.55,debit,Groceries,Platinum Card
06-12-2018,Phone Company,89.46,debit,Mobile Phone,Checking
06/14/2018,Credit Card Payment,283.44,credit,Credit Card Payment,Platinum Card
06/14/2018,Credit Card Payment,283.44,debit,Credit Card Payment,Checking
06/14/2018,Grocery Store,7.02,debit,Groceries,Platinum Card
06/15/2018,Power Company,60,debit,Utilities,Checking
06/16/2018,Starbucks,3,debit,Coffee Shops,Platinum Card
06/16/2018,Pizza Place,22.66,debit,Fast Food,Platinum Card
06/16/2018,Grocery Store,13.9,debit,Groceries,Platinum Card
06/18/2018,City Water Charges,35,debit,Utilities,Checking
06/19/2018,Shell,38.52,debit,Gas & Fuel,Platinum Card
06/19/2018,Grocery Store,2.69,debit,Groceries,Platinum Card
06/20/2018,State Farm,75,debit,Auto Insurance,Checking
06/20/2018,Credit Card Payment,89.45,credit,Credit Card Payment,Silver Card
06/20/2018,Barbershop,30,debit,Haircut,Silver Card
06/21/2018,Credit Card Payment,89.45,debit,Credit Card Payment,Checking
06/22/2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
06/23/2018,Brunch Restaurant,8.5,debit,Restaurants,Silver Card
06/23/2018,Amazon,74.97,debit,Shopping,Platinum Card
06/25/2018,Credit Card Payment,942.76,credit,Credit Card Payment,Platinum Card
06/25/2018,Credit Card Payment,942.76,debit,Credit Card Payment,Checking
06/25/2018,Internet Service Provider,74.99,debit,Internet,Checking
06/26/2018,Grocery Store,9.62,debit,Groceries,Silver Card
06/27/2018,Starbucks,3.5,debit,Coffee Shops,Silver Card
06/27/2018,Pizza Place,22.66,debit,Fast Food,Platinum Card
06/28/2018,Grocery Store,7.57,debit,Groceries,Silver Card
07-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
07-02-2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
07-02-2018,Movie Theater,25,debit,Movies & DVDs,Silver Card
07-02-2018,American Tavern,36.44,debit,Restaurants,Silver Card
07-04-2018,BP,34.48,debit,Gas & Fuel,Silver Card
07-04-2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card
07-05-2018,Grocery Store,44.25,debit,Groceries,Silver Card
07-05-2018,Amazon,212.32,debit,Shopping,Platinum Card
07-06-2018,Amazon Video,6.41,debit,Movies & DVDs,Platinum Card
07-06-2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
07-08-2018,Credit Card Payment,259.87,credit,Credit Card Payment,Platinum Card
07-09-2018,Credit Card Payment,242.16,credit,Credit Card Payment,Silver Card
07-09-2018,Credit Card Payment,259.87,debit,Credit Card Payment,Checking
07-09-2018,Spotify,10.69,debit,Music,Platinum Card
07-10-2018,Credit Card Payment,242.16,debit,Credit Card Payment,Checking
07-10-2018,Grocery Store,5.39,debit,Groceries,Silver Card
07-10-2018,Gas Company,30,debit,Utilities,Checking
07-11-2018,Phone Company,89.46,debit,Mobile Phone,Checking
07/14/2018,Go Mart,33.51,debit,Gas & Fuel,Silver Card
07/15/2018,Circle K,36.24,debit,Gas & Fuel,Platinum Card
07/17/2018,Wendy's,15.23,debit,Fast Food,Silver Card
07/17/2018,City Water Charges,35,debit,Utilities,Checking
07/17/2018,Power Company,60,debit,Utilities,Checking
07/18/2018,Irish Restaurant,28.54,debit,Alcohol & Bars,Platinum Card
07/18/2018,State Farm,75,debit,Auto Insurance,Checking
07/20/2018,Credit Card Payment,61.43,credit,Credit Card Payment,Silver Card
07/20/2018,Credit Card Payment,102.88,credit,Credit Card Payment,Platinum Card
07/20/2018,Credit Card Payment,102.88,debit,Credit Card Payment,Checking
07/20/2018,Biweekly Paycheck,2000,credit,Paycheck,Checking
