Date,Description,Amount,Transaction Type,Category,Account Name
02/20/2019,Barbershop,30,debit,Haircut,Platinum Card
02/21/2019,Credit Card Payment,292.54,debit,Credit Card Payment,Checking
02/21/2019,Grocery Store,46.96,debit,Groceries,Silver Card
02/25/2019,BP,33.8,debit,Gas & Fuel,Silver Card
02/25/2019,Internet Service Provider,75,debit,Internet,Checking
02/27/2019,Roadside Diner,25.77,debit,Restaurants,Silver Card
02/28/2019,Grocery Store,32.07,debit,Groceries,Silver Card
03-01-2019,Biweekly Paycheck,2000,credit,Paycheck,Checking
03-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
03-04-2019,Grocery Store,92.04,debit,Groceries,Silver Card
03-04-2019,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
03-04-2019,Netflix,11.76,debit,Television,Platinum Card
03-05-2019,Fancy Restaurant,7,debit,Restaurants,Silver Card
03-06-2019,Credit Card Payment,491.86,debit,Credit Card Payment,Checking
03-08-2019,BP,34.08,debit,Gas & Fuel,Platinum Card
03-08-2019,Amazon,27.17,debit,Shopping,Platinum Card
03-08-2019,Gas Company,49,debit,Utilities,Checking
03-09-2019,Spotify,10.69,debit,Music,Platinum Card
03-12-2019,Phone Company,65,debit,Mobile Phone,Checking
03-12-2019,Bakery Place,3.02,debit,Restaurants,Platinum Card
03/13/2019,Credit Card Payment,532.86,credit,Credit Card Payment,Platinum Card
03/13/2019,Credit Card Payment,301.79,credit,Credit Card Payment,Silver Card
03/14/2019,Credit Card Payment,305.27,debit,Credit Card Payment,Checking
03/14/2019,Credit Card Payment,301.79,debit,Credit Card Payment,Checking
03/14/2019,Brunch Restaurant,8,debit,Restaurants,Platinum Card
03/15/2019,Biweekly Paycheck,2000,credit,Paycheck,Checking
03/15/2019,Power Company,60,debit,Utilities,Checking
03/18/2019,Best Buy,320.99,debit,Electronics & Software,Platinum Card
03/18/2019,Grocery Store,16.23,debit,Groceries,Platinum Card
03/19/2019,Amazon,13.84,debit,Shopping,Platinum Card
03/19/2019,City Water Charges,35,debit,Utilities,Checking
03/20/2019,State Farm,75,debit,Auto Insurance,Checking
03/22/2019,BP,37.51,debit,Gas & Fuel,Platinum Card
03/23/2019,Starbucks,5.2,debit,Coffee Shops,Platinum Card
03/25/2019,Internet Service Provider,75,debit,Internet,Checking
03/26/2019,Amazon,16.04,debit,Shopping,Platinum Card
03/27/2019,Brewing Company,49.63,debit,Alcohol & Bars,Platinum Card
03/27/2019,Grocery Store,4.46,debit,Groceries,Platinum Card
03/29/2019,Biweekly Paycheck,2000,credit,Paycheck,Checking
03/30/2019,Starbucks,12.84,debit,Coffee Shops,Platinum Card
03/31/2019,Credit Card Payment,957.6,credit,Credit Card Payment,Platinum Card
04-01-2019,Credit Card Payment,1552.65,debit,Credit Card Payment,Checking
04-01-2019,Credit Card Payment,600.51,credit,Credit Card Payment,Platinum Card
04-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
04-02-2019,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
04-04-2019,Grocery Store,5.64,debit,Groceries,Platinum Card
04-04-2019,Amazon,35.9,debit,Shopping,Platinum Card
04-04-2019,Netflix,11.76,debit,Television,Platinum Card
04-06-2019,Amazon,27.54,debit,Shopping,Platinum Card
04-08-2019,Gas Company,30,debit,Utilities,Checking
04-09-2019,Credit Card Payment,436.75,debit,Credit Card Payment,Checking
04-09-2019,Grocery Store,10.7,debit,Groceries,Platinum Card
04-09-2019,Barbershop,30,debit,Haircut,Platinum Card
04-09-2019,Spotify,10.69,debit,Music,Platinum Card
04-10-2019,Phone Company,65,debit,Mobile Phone,Checking
04-12-2019,Best Buy,44.93,debit,Electronics & Software,Silver Card
04-12-2019,Grocery Store,41.34,debit,Groceries,Platinum Card
04-12-2019,Biweekly Paycheck,2000,credit,Paycheck,Checking
04/13/2019,QuikTrip,38.94,debit,Gas & Fuel,Platinum Card
04/13/2019,Grocery Store,16.87,debit,Groceries,Platinum Card
04/13/2019,Vietnamese Restaurant,20.64,debit,Restaurants,Platinum Card
04/15/2019,Power Company,60,debit,Utilities,Checking
04/16/2019,City Water Charges,35,debit,Utilities,Checking
04/18/2019,State Farm,75,debit,Auto Insurance,Checking
04/18/2019,Credit Card Payment,604.32,credit,Credit Card Payment,Silver Card
04/18/2019,Credit Card Payment,458.1,credit,Credit Card Payment,Platinum Card
04/19/2019,Credit Card Payment,604.32,debit,Credit Card Payment,Checking
04/19/2019,Grocery Store,10.89,debit,Groceries,Platinum Card
04/22/2019,Brewing Company,14.4,debit,Alcohol & Bars,Silver Card
04/22/2019,Greek Restaurant,64.52,debit,Restaurants,Silver Card
04/23/2019,Hardware Store,29.56,debit,Home Improvement,Silver Card
04/25/2019,Internet Service Provider,75,debit,Internet,Checking
04/26/2019,Biweekly Paycheck,2000,credit,Paycheck,Checking
04/27/2019,Brewing Company,40,debit,Alcohol & Bars,Platinum Card
04/27/2019,Credit Card Payment,268.96,credit,Credit Card Payment,Silver Card
04/27/2019,American Tavern,14.74,debit,Restaurants,Silver Card
04/29/2019,Credit Card Payment,268.96,debit,Credit Card Payment,Checking
04/29/2019,Grocery Store,5.64,debit,Groceries,Platinum Card
04/30/2019,BP,39.08,debit,Gas & Fuel,Platinum Card
05-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
05-02-2019,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
05-03-2019,Credit Card Payment,758.07,debit,Credit Card Payment,Checking
05-04-2019,Netflix,13.9,debit,Television,Platinum Card
05-06-2019,Amazon,16.94,debit,Shopping,Platinum Card
05-07-2019,Amazon,38.56,debit,Shopping,Platinum Card
05-09-2019,Best Buy,331.69,debit,Electronics & Software,Platinum Card
05-09-2019,Spotify,10.69,debit,Music,Platinum Card
05-09-2019,Target,3.2,debit,Shopping,Platinum Card
05-09-2019,Gas Company,30,debit,Utilities,Checking
05-10-2019,Best Buy,21.39,debit,Electronics & Software,Silver Card
05-10-2019,Phone Company,65,debit,Mobile Phone,Checking
05-10-2019,Biweekly Paycheck,2000,credit,Paycheck,Checking
05/13/2019,Credit Card Payment,480.88,debit,Credit Card Payment,Checking
05/13/2019,QuikTrip,35.24,debit,Gas & Fuel,Silver Card
05/13/2019,Fancy Restaurant,98.19,debit,Restaurants,Silver Card
05/13/2019,Greek Restaurant,23.11,debit,Restaurants,Silver Card
05/14/2019,Grocery Store,2.02,debit,Groceries,Silver Card
05/15/2019,Power Company,60,debit,Utilities,Checking
05/17/2019,Credit Card Payment,575.33,credit,Credit Card Payment,Platinum Card
05/17/2019,City Water Charges,35,debit,Utilities,Checking
05/20/2019,State Farm,75,debit,Auto Insurance,Checking
05/20/2019,Credit Card Payment,415.47,debit,Credit Card Payment,Checking
05/20/2019,American Tavern,32.53,debit,Restaurants,Silver Card
05/24/2019,Credit Card Payment,765.68,credit,Credit Card Payment,Silver Card
05/24/2019,Hardware Store,27.96,debit,Home Improvement,Platinum Card
05/24/2019,Biweekly Paycheck,2000,credit,Paycheck,Checking
05/24/2019,Brunch Restaurant,8,debit,Restaurants,Platinum Card
05/25/2019,QuikTrip,36.76,debit,Gas & Fuel,Platinum Card
05/25/2019,Hardware Store,30.99,debit,Home Improvement,Platinum Card
05/27/2019,Mexican Restaurant,34.33,debit,Restaurants,Platinum Card
05/28/2019,Credit Card Payment,765.68,debit,Credit Card Payment,Checking
05/30/2019,Internet Service Provider,75,debit,Internet,Checking
05/30/2019,American Tavern,34.82,debit,Restaurants,Platinum Card
06-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
06-03-2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card
06-03-2019,Credit Card Payment,260.95,credit,Credit Card Payment,Platinum Card
06-03-2019,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
06-04-2019,Barbershop,30,debit,Haircut,Platinum Card
06-04-2019,Netflix,13.9,debit,Television,Platinum Card
06-05-2019,Grocery Store,23,debit,Groceries,Platinum Card
06-05-2019,Mexican Restaurant,23.24,debit,Restaurants,Platinum Card
06-06-2019,Starbucks,3.75,debit,Coffee Shops,Platinum Card
06-06-2019,Grocery Store,5.64,debit,Groceries,Platinum Card
06-07-2019,Credit Card Payment,458.56,debit,Credit Card Payment,Checking
06-07-2019,Biweekly Paycheck,2000,credit,Paycheck,Checking
06-07-2019,Gas Company,30,debit,Utilities,Checking
06-09-2019,Spotify,10.69,debit,Music,Platinum Card
06-12-2019,Phone Company,65,debit,Mobile Phone,Checking
06/13/2019,Credit Card Payment,152.72,credit,Credit Card Payment,Platinum Card
06/13/2019,Credit Card Payment,152.72,debit,Credit Card Payment,Checking
06/14/2019,Grocery Store,10.69,debit,Groceries,Silver Card
06/15/2019,BP,33.16,debit,Gas & Fuel,Silver Card
06/17/2019,City Water Charges,35,debit,Utilities,Checking
06/17/2019,Power Company,60,debit,Utilities,Checking
06/18/2019,Brewing Company,15,debit,Alcohol & Bars,Silver Card
06/18/2019,Shell,41.83,debit,Gas & Fuel,Silver Card
06/19/2019,State Farm,75,debit,Auto Insurance,Checking
06/20/2019,Credit Card Payment,375.26,debit,Credit Card Payment,Checking
06/20/2019,Mike's Construction Co.,9200,debit,Home Improvement,Checking
06/20/2019,Credit Card Payment,100.68,credit,Credit Card Payment,Silver Card
06/21/2019,Credit Card Payment,100.68,debit,Credit Card Payment,Checking
06/21/2019,Biweekly Paycheck,2000,credit,Paycheck,Checking
06/24/2019,Brewing Company,15,debit,Alcohol & Bars,Silver Card
06/28/2019,BP,30.64,debit,Gas & Fuel,Silver Card
06/30/2019,Internet Service Provider,75,debit,Internet,Checking
07-01-2019,Starbucks,7,debit,Coffee Shops,Silver Card
07-01-2019,Grocery Store,99.47,debit,Groceries,Silver Card
07-01-2019,Hawaiian Grill,24.97,debit,Restaurants,Silver Card
07-01-2019,Thai Restaurant,24,debit,Restaurants,Silver Card
07-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
07-02-2019,Hardware Store,229.9,debit,Home Improvement,Platinum Card
07-02-2019,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
07-04-2019,Netflix,13.9,debit,Television,Platinum Card
07-05-2019,Brewing Company,19,debit,Alcohol & Bars,Silver Card
07-05-2019,Biweekly Paycheck,2250,credit,Paycheck,Checking
07-06-2019,Credit Card Payment,220.08,credit,Credit Card Payment,Silver Card
07-06-2019,Grocery Store,92.98,debit,Groceries,Platinum Card
07-06-2019,Greek Restaurant,23.26,debit,Restaurants,Platinum Card
07-07-2019,Hardware Store,103.14,debit,Home Improvement,Platinum Card
07-08-2019,Credit Card Payment,305.28,debit,Credit Card Payment,Checking
07-08-2019,Credit Card Payment,220.08,debit,Credit Card Payment,Checking
07-09-2019,Credit Card Payment,549.72,credit,Credit Card Payment,Platinum Card
07-09-2019,Spotify,10.69,debit,Music,Platinum Card
07-10-2019,Phone Company,65,debit,Mobile Phone,Checking
07-10-2019,Gas Company,30,debit,Utilities,Checking
07/15/2019,Grocery Store,87.14,debit,Groceries,Silver Card
07/16/2019,Amazon,89.99,debit,Shopping,Platinum Card
07/16/2019,Power Company,60,debit,Utilities,Checking
07/17/2019,City Water Charges,35,debit,Utilities,Checking
07/18/2019,State Farm,75,debit,Auto Insurance,Checking
07/18/2019,Credit Card Payment,814.5,debit,Credit Card Payment,Checking
07/18/2019,BP,36.42,debit,Gas & Fuel,Silver Card
07/18/2019,Grocery Store,29.83,debit,Groceries,Platinum Card
07/18/2019,Brunch Restaurant,8.82,debit,Restaurants,Platinum Card
07/19/2019,Credit Card Payment,115.52,credit,Credit Card Payment,Platinum Card
07/19/2019,Biweekly Paycheck,2250,credit,Paycheck,Checking
07/19/2019,Mexican Restaurant,28,debit,Restaurants,Platinum Card
07/22/2019,Credit Card Payment,257.08,credit,Credit Card Payment,Silver Card
07/22/2019,Thai Restaurant,26.67,debit,Restaurants,Silver Card
07/23/2019,Credit Card Payment,257.08,debit,Credit Card Payment,Checking
07/24/2019,Starbucks,2.5,debit,Coffee Shops,Silver Card
07/27/2019,Barbershop,30,debit,Haircut,Silver Card
07/28/2019,Hardware Store,44.31,debit,Home Improvement,Platinum Card
07/29/2019,Grocery Store,5.35,debit,Groceries,Platinum Card
07/29/2019,Fancy Restaurant,44.92,debit,Restaurants,Silver Card
07/30/2019,Grocery Store,15.77,debit,Groceries,Platinum Card
07/30/2019,Internet Service Provider,75,debit,Internet,Checking
08-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
08-02-2019,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
08-02-2019,Biweekly Paycheck,2250,credit,Paycheck,Checking
08-03-2019,BP,36.36,debit,Gas & Fuel,Platinum Card
08-03-2019,Grocery Store,3.96,debit,Groceries,Platinum Card
08-03-2019,American Tavern,23.47,debit,Restaurants,Platinum Card
08-04-2019,Netflix,13.9,debit,Television,Platinum Card
08-05-2019,Brewing Company,18,debit,Alcohol & Bars,Silver Card
08-05-2019,Credit Card Payment,349.28,credit,Credit Card Payment,Platinum Card
08-05-2019,Credit Card Payment,117.65,credit,Credit Card Payment,Silver Card
08-06-2019,Credit Card Payment,521.17,debit,Credit Card Payment,Checking
08-06-2019,Credit Card Payment,117.65,debit,Credit Card Payment,Checking
08-06-2019,Hardware Store,125,debit,Home Improvement,Checking
08-08-2019,Grocery Store,11.72,debit,Groceries,Silver Card
08-09-2019,Spotify,10.69,debit,Music,Platinum Card
08-09-2019,Gas Company,30,debit,Utilities,Checking
08-12-2019,Phone Company,65,debit,Mobile Phone,Checking
08-12-2019,Thai Restaurant,26.67,debit,Restaurants,Silver Card
08/14/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card
08/15/2019,Credit Card Payment,335.2,debit,Credit Card Payment,Checking
08/15/2019,Power Company,60,debit,Utilities,Checking
08/16/2019,Biweekly Paycheck,2250,credit,Paycheck,Checking
08/16/2019,City Water Charges,35,debit,Utilities,Checking
08/17/2019,Credit Card Payment,87.17,credit,Credit Card Payment,Platinum Card
08/17/2019,Grocery Store,33.15,debit,Groceries,Platinum Card
08/17/2019,Barbershop,19,debit,Haircut,Platinum Card
08/17/2019,American Tavern,3.5,debit,Restaurants,Platinum Card
08/19/2019,Credit Card Payment,1248.95,debit,Credit Card Payment,Checking
08/20/2019,State Farm,75,debit,Auto Insurance,Checking
08/20/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card
08/21/2019,Shell,34.69,debit,Gas & Fuel,Platinum Card
08/23/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card
08/25/2019,Brunch Restaurant,39.43,debit,Restaurants,Platinum Card
08/26/2019,Hardware Store,66.75,debit,Home Improvement,Silver Card
08/29/2019,Starbucks,3,debit,Coffee Shops,Platinum Card
08/30/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card
08/30/2019,Internet Service Provider,75,debit,Internet,Checking
08/30/2019,Biweekly Paycheck,2250,credit,Paycheck,Checking
08/31/2019,Hardware Store,68.04,debit,Home Improvement,Platinum Card
08/31/2019,BBQ Restaurant,41.78,debit,Restaurants,Silver Card
09-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
09-03-2019,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
09-03-2019,Fancy Restaurant,41.24,debit,Restaurants,Silver Card
09-04-2019,Netflix,13.9,debit,Television,Platinum Card
09-05-2019,Starbucks,3.75,debit,Coffee Shops,Platinum Card
09-06-2019,Credit Card Payment,1390.37,credit,Credit Card Payment,Platinum Card
09-06-2019,Credit Card Payment,1390.37,debit,Credit Card Payment,Checking
09-06-2019,Credit Card Payment,502.75,debit,Credit Card Payment,Checking
09-07-2019,Brewing Company,12.87,debit,Alcohol & Bars,Platinum Card
09-08-2019,Brewing Company,19.3,debit,Alcohol & Bars,Platinum Card
09-09-2019,Shell,28.77,debit,Gas & Fuel,Platinum Card
09-09-2019,Grocery Store,65.09,debit,Groceries,Silver Card
09-09-2019,Hardware Store,26.25,debit,Home Improvement,Silver Card
09-09-2019,Spotify,10.69,debit,Music,Platinum Card
09-09-2019,Gas Company,30,debit,Utilities,Checking
09-11-2019,Credit Card Payment,360.56,credit,Credit Card Payment,Silver Card
09-11-2019,Phone Company,65,debit,Mobile Phone,Checking
09-12-2019,Credit Card Payment,360.56,debit,Credit Card Payment,Checking
09/13/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card
09/13/2019,Biweekly Paycheck,2250,credit,Paycheck,Checking
09/14/2019,Grocery Store,46.44,debit,Groceries,Platinum Card
09/15/2019,Amazon,47.66,debit,Shopping,Platinum Card
09/16/2019,Credit Card Payment,90.57,debit,Credit Card Payment,Checking
09/16/2019,Credit Card Payment,90.57,credit,Credit Card Payment,Silver Card
09/16/2019,City Water Charges,35,debit,Utilities,Checking
09/17/2019,Credit Card Payment,186.13,credit,Credit Card Payment,Platinum Card
09/17/2019,Power Company,60,debit,Utilities,Checking
09/18/2019,State Farm,75,debit,Auto Insurance,Checking
09/18/2019,Credit Card Payment,1606.46,debit,Credit Card Payment,Checking
09/19/2019,Brewing Company,40.81,debit,Alcohol & Bars,Platinum Card
09/19/2019,Starbucks,2.75,debit,Coffee Shops,Platinum Card
09/20/2019,Credit Card Payment,9.43,credit,Credit Card Payment,Silver Card
09/22/2019,Seafood Restaurant,131.1,debit,Restaurants,Platinum Card
09/23/2019,Credit Card Payment,9.43,debit,Credit Card Payment,Checking
09/23/2019,Grocery Store,27.71,debit,Groceries,Platinum Card
09/23/2019,Amazon,24.63,debit,Shopping,Platinum Card
09/27/2019,Biweekly Paycheck,2250,credit,Paycheck,Checking
09/28/2019,BP,33.46,debit,Gas & Fuel,Platinum Card
09/28/2019,Sheetz,4.27,debit,Gas & Fuel,Platinum Card
09/30/2019,Starbucks,1.75,debit,Coffee Shops,Platinum Card
09/30/2019,Internet Service Provider,75,debit,Internet,Checking
